airline_stance,airline,text
1,Virgin America,@VirginAmerica What @dhepburn said.
2,Virgin America,'@VirginAmerica plus you''ve added commercials to the experience... tacky.'
1,Virgin America,'@VirginAmerica I didn''t today... Must mean I need to take another trip!'
0,Virgin America,'"@VirginAmerica it''s really aggressive to blast obnoxious ""entertainment"" in your guests'' faces &amp; they have little recourse"'
0,Virgin America,'@VirginAmerica and it''s a really big bad thing about it'
0,Virgin America,'"@VirginAmerica seriously would pay $30 a flight for seats that didn''t have this playing.'
2,Virgin America,"@VirginAmerica yes
1,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody
2,Virgin America,"@virginamerica Well
2,Virgin America,"@VirginAmerica it was amazing
1,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
2,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
2,Virgin America,'@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven''t even gone on my 1st trip yet! ;p'
2,Virgin America,'@VirginAmerica @virginmedia I''m flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn'
2,Virgin America,@VirginAmerica Thanks!
0,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
2,Virgin America,'@VirginAmerica So excited for my first cross country flight LAX to MCO I''ve heard nothing but great things about Virgin America. #29DaysToGo'
0,Virgin America,'@VirginAmerica  I flew from NYC to SFO last week and couldn''t fully sit in my seat due to two large gentleman on either side of me. HELP!'
2,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍
2,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
0,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
2,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
2,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.
1,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
0,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
0,Virgin America,'@VirginAmerica status match program.  I applied and it''s been three weeks.  Called and emailed with no response.'
0,Virgin America,'@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won''t be able 2 eat anything for next 6 hrs #fail'
1,Virgin America,'@VirginAmerica do you miss me? Don''t worry we''ll be together very soon.'
0,Virgin America,'@VirginAmerica amazing to me that we can''t get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS'
1,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
0,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you
1,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
0,Virgin America,"@VirginAmerica help
0,Virgin America,"@VirginAmerica awaiting my return phone call
2,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
1,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
2,Virgin America,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
2,Virgin America,"@VirginAmerica @freddieawards Done and done! Best airline around
1,Virgin America,@VirginAmerica when can I book my flight to Hawaii??
